19 November 2013
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
1383000000.0,7.1243805691199373,0,25.95344812409099,0
1411500000.0,7.4241242929417348,0,25.830878447741739,0
1440000000.0,7.2413371453701636,0,26.18729778755954,0
1468500000.0,6.993789091867523,0,26.605075016333576,0
1497000000.0,6.972505632824209,0,26.793315465061553,0
1525500000.0,6.9919417201842471,0,26.937687610408982,0
1554000000.0,7.0585007573604681,0,27.031904622962159,0
1582500000.0,7.3887752712163017,0,26.859484193596266,0
1611000000.0,7.7173427765903728,0,26.685953122818699,0
1639500000.0,7.6256982572982661,0,26.929915253834128,0
1668000000.0,7.5096766179441605,0,27.195629399114949,0
1696500000.0,7.346711460268402,0,27.505750910379042,0
1725000000.0,7.385425579969648,0,27.611741499240921,0
1753500000.0,7.5290416676834262,0,27.610458827691716,0
1782000000.0,7.5426773816310249,0,27.73686170341081,0
1810500000.0,7.5018505111405887,0,27.915505162944733,0
1839000000.0,7.3027099790871342,0,28.250309696699134,0
1867500000.0,7.1334877001716741,0,28.553109600601765,0
1896000000.0,6.9957445036376908,0,28.822407247427972,0
1924500000.0,6.7982156208810904,0,29.149527778755818,0
1953000000.0,6.6752534421338243,0,29.400176514647978,0
1981500000.0,7.1278392980708283,0,29.07342732635805,0
2010000000.0,7.4092223411900662,0,28.916083898244423,0
2038500000.0,7.5516402060415375,0,28.895959200746685,0
2067000000.0,7.5154964137628752,0,29.052698209807602,0
2095500000.0,7.4120939345368262,0,29.275044459885152,0
2124000000.0,7.2666520209629573,0,29.537823318250386,0
2152500000.0,7.1231918788054829,0,29.797056414733078,0
2181000000.0,6.997852307949687,0,30.036646094649029,0
2209500000.0,7.2385057817141272,0,29.908759427276831,0
2238000000.0,7.622999567090309,0,29.635587167781026,0
2266500000.0,7.610156935134893,0,29.758342623783953,0
2295000000.0,7.5465344226333304,0,29.930504465856984,0
2323500000.0,7.3982510431467841,0,30.185987584175674,0
2352000000.0,7.2721977047979935,0,30.41793373430874,0
2380500000.0,7.170265004187427,0,30.624483803047873,0
2409000000.0,7.0961481042870656,0,30.801972986704516,0
2437500000.0,7.0388924549586376,0,30.961385123477566,0
2466000000.0,7.0690382427276059,0,31.032208293491365,0
2494500000.0,7.2848782000485617,0,30.916177056480162,0
2523000000.0,7.6878281934545969,0,30.611901907921609,0
2551500000.0,7.7175864015512836,0,30.679710142838434,0
2580000000.0,7.6148784699314014,0,30.878900740357913,0
2608500000.0,7.397527316583834,0,31.191674595608756,0
2637000000.0,7.2071281364553048,0,31.476459550438097,0
2665500000.0,7.1223086307493322,0,31.654650197495037,0
2694000000.0,7.1121430099449414,0,31.757193908819108,0
2722500000.0,7.1499368056046952,0,31.810806053976268,0
2751000000.0,7.3568102109150058,0,31.694386687903382,0
2779500000.0,7.5212635426066505,0,31.619455115909638,0
