21 November 2013,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
699950000,5.3345190324,6.0515751647,21.8282064161,21.1111502838
714600000,5.1582106234,5.5329361059,22.184434705,21.8097092224
729250000,5.2797685285,4.5577681092,22.2391453184,22.9611457377
743900000,5.4909021601,4.0710607709,22.2007741051,23.6206154943
758550000,5.496601204,4.3952846092,22.3644681408,23.4657847356
773200000,5.4781125348,5.0502576211,22.5491094633,22.9769643771
787850000,5.8559333332,5.8876230479,22.3343225448,22.3026328301
802500000,5.6794825478,5.9610334614,22.6708033648,22.3892524511
817150000,5.4997586968,6.0128209622,23.0076620951,22.4945998297
831800000,5.7053592737,6.2172793098,22.9564041379,22.4444841018
846450000,5.5954279628,6.189245312,23.2179833148,22.6241659655
861100000,5.5214291109,5.8614893629,23.4410277647,23.1009675127
875750000,5.3352267241,5.1906546411,23.7737612867,23.9183333697
890400000,4.743874218,4.6265901549,24.5092138996,24.6264979626
905050000,5.0569926224,5.1749485087,24.3378439229,24.2198880366
919700000,5.6945751566,5.3453227631,23.8397336641,24.1889860577
934350000,5.4418468577,5.2182303173,24.229730032,24.4533465723
949000000,6.2361416748,5.3150865817,23.5705676647,24.4916227579
963650000,6.5372459268,5.51158439,23.402525679,24.4281872158
978300000,6.2608194936,5.9992958078,23.810006668,24.0715303538
992950000,5.7585683039,6.2772963846,24.44136439,23.9226363093
1007600000,5.568873719,6.123547716,24.7582745486,24.2036005515
1022250000,5.5240447976,5.9489143749,24.9284826779,24.5036131007
1036900000,5.610003476,6.3143987871,24.9661191045,24.2617237935
1051550000,6.006847548,6.4460714977,24.6911360974,24.2519121477
1066200000,6.1460687948,6.1129406727,24.67208986,24.7052179821
1080850000,6.438380206,5.5688340271,24.4983134229,25.3678596018
1095500000,6.5333959079,5.2086718614,24.5202368211,25.8449608675
1110150000,6.2729716728,5.0496346865,24.8960466835,26.1193836698
1124800000,5.9022435057,5.2035946715,25.3806477388,26.079296573
1139450000,5.4667313456,5.4685185508,25.9285592001,25.9267719949
1154100000,4.8907980343,5.8509649037,26.6154558773,25.6552890078
1168750000,4.3053474746,5.6193451687,27.3104700941,25.9964723999
1183400000,4.731813496,5.1197838972,26.9922028939,26.6042324927
1198050000,5.1773283028,5.3656776781,26.653555658,26.4652062827
1212700000,5.6023264571,5.6412004457,26.3341261854,26.2952521967
1227350000,6.2440517344,5.985616943,25.7967018955,26.0551366869
1242000000,6.7599528574,6.1004035194,25.3838641504,26.0434134885
1256650000,6.934994612,6.284099639,25.3106771905,25.9615721635
1271300000,6.837577448,6.1388995816,25.5087685828,26.2074464492
1285950000,6.7300509446,6.6221012747,25.715815802,25.823765472
1300600000,7.0305067969,7.0872278666,25.5137532875,25.4570322179
1315250000,6.6887083286,7.2777314707,25.9528429718,25.3638198297
1329900000,5.8955665505,6.75116223,26.8421982609,25.9866025814
1344550000,5.8655002463,5.3878016236,26.9674239855,27.4451226082
1359200000,5.8252252828,5.066620376,27.1018271254,27.8604320322
1373850000,5.8397876451,5.2607625119,27.1803838074,27.7594089406
1388500000,5.8824900492,5.9667013606,27.2298127236,27.1456014122
1403150000,6.2325248597,6.0817568675,26.9709422434,27.1217102355
1417800000,6.3714121499,6.1451497414,26.9222723815,27.14853479
1432450000,6.5816171146,6.3763291741,26.8013574115,27.006645352
1447100000,6.744789174,6.375036022,26.7265667875,27.0963199395
1461750000,6.9623323655,6.9706052472,26.5965147757,26.588241894
1476400000,7.0838469716,7.2322545236,26.5616188499,26.4132112979
1491050000,7.1178526963,7.5552680629,26.6133765362,26.1759611696
1505700000,6.6977318489,7.0184129915,27.1184222502,26.7977411075
1520350000,6.1657998207,5.79001018,27.7344568393,28.1102464801
1535000000,5.4084968494,5.1198369079,28.5750558379,28.8637157794
