17 Nov 2014,
Frequency [MHz],Loss [dB]
4091.92,10.9629041658
4103.34,10.9836684751
4114.77,11.0256681615
4126.2,11.0810155222
4137.63,11.200486754
4149.05,11.1812345791
4160.48,11.1450086664
4171.91,11.2985343475
4183.33,11.3539476012
4194.76,11.3544777896
4206.19,11.2516951697
4217.62,11.4069880226
4229.04,11.4242230472
4240.47,11.3636672507
4251.9,11.3730467411
4263.32,11.4387297175
4274.75,11.4918292892
4286.18,11.4879312746
4297.61,11.5204861015
4309.03,11.6888404828
4320.46,11.6762615203
4331.89,11.6395369299
4343.31,11.7183850241
4354.74,11.7684932154
4366.17,11.7211295629
4377.6,11.6770696682
4389.02,11.8019200963
4400.45,11.8381865559
4411.88,11.8199219876
4423.3,11.8559825422
4434.73,11.9612850518
4446.16,11.996388028
4457.59,11.9989146358
4469.01,12.0044832722
4480.44,12.1036059447
4491.87,12.1277392558
4503.29,12.0545405984
4514.72,12.0995172855
4526.15,12.1439425208
4537.58,12.1313759263
4549,12.140918439
4560.43,12.2832020336
4571.86,12.3847721273
4583.28,12.3370631393
4594.71,12.3611648026
4606.14,12.51123227
4617.57,12.4834698328
4628.99,12.4408211106
4640.42,12.5029033552
4651.85,12.570987933
4663.27,12.5443642039
4674.7,12.5269060397
4686.13,12.6791684429
4697.56,12.7061040569
4708.98,12.6902603433
4720.41,12.7296045084
4731.84,12.817980505
4743.26,12.9194421094
4754.69,12.8706562726
4766.12,12.9397680113
4777.55,13.0127241853
4788.97,13.0179418451
4800.4,12.9535345953
4811.83,12.9811016975
4823.25,13.0267201681
4834.68,13.0420453759
4846.11,13.0765487405
4857.54,13.2171824505
4868.96,13.2628055661
4880.39,13.1908315664
4891.82,13.2287428722
4903.24,13.357390638
4914.67,13.3466691123
4926.1,13.3438386523
4937.53,13.3873226014
4948.95,13.4354888563
4960.38,13.3622936223
4971.81,13.3543497817
4983.23,13.4335497431
4994.66,13.4751035897
5006.09,13.5007183402
5017.52,13.5860004412
5028.94,13.677044957
5040.37,13.7158963539
5051.8,13.6980412455
5063.22,13.708767789
5074.65,13.8229462633
5086.08,13.7683354322
5097.51,13.7789610563
5108.93,13.8173987161
5120.36,13.8530807345
5131.79,13.8514121001
5143.21,13.9740272559
5154.64,14.0107356157
5166.07,14.1019197434
5177.5,14.0927464657
5188.92,14.1217934885
5200.35,14.2151376542
5211.78,14.2075131291
5223.2,14.1737053839
5234.63,14.2011058236
5246.06,14.2098056941
5257.49,14.2626357642
5268.91,14.2809707928
5280.34,14.350301909
5291.77,14.3915878122
5303.19,14.4690289094
5314.62,14.5128843405
5326.05,14.5395944707
5337.48,14.6061030974
5348.9,14.6117061472
5360.33,14.6148915884
5371.76,14.6743207151
5383.18,14.6501250571
5394.61,14.6350201121
5406.04,14.6867570163
5417.47,14.7450710739
5428.89,14.7829255285
5440.32,14.8430247813
5451.75,14.8915720461
5463.17,14.995770004
5474.6,15.0499580952
5486.03,15.1165356149
5497.46,15.1057460788
5508.88,15.1547288294
5520.31,15.1847108815
5531.74,15.1608452284
5543.16,15.2296628872
5554.59,15.2975138377
5566.02,15.3417231803
5577.45,15.4089074621
5588.87,15.4686352415
5600.3,15.5252544498
5611.73,15.58596562
5623.15,15.6299750398
5634.58,15.718462615
5646.01,15.7176206803
