21 November 2013
Frequency [Hz],Loss [dB]
3543414285.7142849,3.469578187916873
3554841428.5714278,3.493843172533428
3566268571.4285712,3.5029746437407949
3577695714.2857141,3.520433388742672
3589122857.1428571,3.5522558808033682
3600550000.0,3.5679247170145119
3611977142.857142,3.5854683461047472
3623404285.7142849,3.6203448037533033
3634831428.5714278,3.628687156293652
3646258571.4285712,3.6234207199723638
3657685714.2857141,3.6336071431027062
3669112857.1428571,3.6482067551318336
3680540000.0,3.641377298260716
3691967142.857142,3.644258530617563
3703394285.7142849,3.6639279551177308
3714821428.5714278,3.6683177064767749
3726248571.4285712,3.6616208367228502
3737675714.2857141,3.6857975846011533
3749102857.1428571,3.6838112123958933
3760530000.0,3.6745084035984323
3771957142.857142,3.6749261942934996
3783384285.7142849,3.685933584298704
3794811428.5714278,3.6784396935988912
3806238571.4285712,3.676677277032776
3817665714.2857141,3.6892501083880616
3829092857.1428571,3.6904388826678982
3840520000.0,3.6921763270172989
3851947142.857142,3.7113934242072459
3863374285.7142849,3.7361040621109147
3874801428.5714278,3.7400109506803609
3886228571.4285712,3.758949379682984
3897655714.2857141,3.7848906632862009
3909082857.1428571,3.788047350892171
3920510000.0,3.7778917289200331
3931937142.857142,3.8093793964147742
3943364285.7142849,3.810994548926161
3954791428.5714278,3.814883965257621
3966218571.4285712,3.828677414778638
3977645714.2857141,3.8479979376264133
3989072857.1428571,3.8491032299257411
4000500000.0,3.6682761028194726
4011927142.857142,3.6948787132527161
4023354285.7142849,3.6872225212113188
4034781428.5714278,3.6949185564891289
4046208571.4285712,3.7162355887172707
4057635714.2857141,3.7179459545997009
4069062857.1428571,3.6994088211626917
4080490000.0,3.7125863102018908
4091917142.857142,3.7289147370493971
4103344285.7142849,3.7158388979234278
4114771428.5714278,3.733236657200337
4126198571.4285712,3.748934105136347
4137625714.2857141,3.7547795886112203
4149052857.1428571,3.7484118644726774
4160480000.0,3.7763477106368311
4171907142.857142,3.7902970462928991
4183334285.7142849,3.7775419290943972
4194761428.5714278,3.780802219991207
4206188571.4285712,3.8088890082511959
4217615714.2857141,3.8048410235168189
4229042857.1428571,3.8128024326209804
4240470000.0,3.842721181578665
4251897142.857142,3.8386716142372581
4263324285.7142849,3.8440251829487901
4274751428.5714278,3.860624297163473
4286178571.4285712,3.8715650975484079
4297605714.2857141,3.8562905737075059
4309032857.1428566,3.8596529768288015
4320460000.0,3.903487619212668
4331887142.8571424,3.8707441140564303
4343314285.7142859,3.8639571502900272
4354741428.5714283,3.877512704760159
4366168571.4285707,3.8865158312270127
4377595714.2857141,3.8643719321090657
4389022857.1428566,3.8826844756273129
4400450000.0,3.9041325478365509
4411877142.8571424,3.8921438694921822
4423304285.7142859,3.8979066979657269
4434731428.5714283,3.9296167238382305
4446158571.4285707,3.9310644194494131
4457585714.2857141,3.9309351636869216
4469012857.1428566,3.958431505192725
4480440000.0,3.989788468156946
4491867142.8571424,3.962512320488309
4503294285.7142859,3.995866703543133
4514721428.5714283,4.0154370532967434
4526148571.4285707,3.9863495743512631
4537575714.2857141,4.0243340672427594
4549002857.1428566,4.046317753943427
4560430000.0,4.0556700099948761
4571857142.8571424,4.0551037541274679
4583284285.7142859,4.0609545654167025
4594711428.5714283,4.1013872334169612
4606138571.4285707,4.0645265852991086
4617565714.2857141,4.0707935695351232
4628992857.1428566,4.0801736871942067
4640420000.0,4.0717127925415308
4651847142.8571424,4.0841282766306204
4663274285.7142859,4.1065861431508885
4674701428.5714283,4.1084739577862353
4686128571.4285707,4.1053075906694181
4697555714.2857141,4.1323918532020576
4708982857.1428566,4.1506419989498147
4720410000.0,4.1468785645588859
4731837142.8571424,4.1664563578650444
4743264285.7142859,4.2132840828176139
4754691428.5714283,4.188422061460594
4766118571.4285707,4.2029711120719524
4777545714.2857141,4.232683858657567
4788972857.1428566,4.2635615758049088
4800400000.0,4.241904749535518
4811827142.8571424,4.2650394233053328
4823254285.7142859,4.2876449250854174
4834681428.5714283,4.2789537923532288
4846108571.4285707,4.2931972407474106
4857535714.2857141,4.3255270368109642
4868962857.1428566,4.3117468598276654
4880390000.0,4.3086474120294982
4891817142.8571424,4.3302281181065165
4903244285.7142849,4.3001004669657608
4914671428.5714283,4.2608027017490198
4926098571.4285707,4.2754351579085901
4937525714.2857141,4.2948982340135577
4948952857.1428566,4.2670396999452436
4960380000.0,4.2638985876570601
4971807142.8571424,4.2919282886563348
4983234285.7142849,4.2743985255139147
4994661428.5714283,4.2654535721699194
