Measured Date:, 2013/11/07
Frequency [Hz], Cable Loss [dB]
934900000,1.462590583
936450000,1.465810373
938000000,1.468922511
939550000,1.464353732
941100000,1.467291955
942650000,1.467372612
944200000,1.469097051
945750000,1.467412723
947300000,1.46784188
948850000,1.466724963
950400000,1.465559228
951950000,1.468270314
953500000,1.465936166
955050000,1.465129523
956600000,1.464969212
958150000,1.465035824
959700000,1.465639668
961250000,1.46496316
962800000,1.464628551
964350000,1.46738103
965900000,1.468949615
967450000,1.470533776
969000000,1.469800265
970550000,1.473508065
972100000,1.473934806
973650000,1.475511511
975200000,1.476484546
976750000,1.476485758
978300000,1.48105411
979850000,1.481100261
981400000,1.485113364
982950000,1.484980848
984500000,1.488702788
986050000,1.492389469
987600000,1.492659709
989150000,1.495267959
990700000,1.496875644
992250000,1.500211832
993800000,1.500812934
995350000,1.505391128
996900000,1.506561156
998450000,1.506827117
1000000000,1.509656515
1000000000,1.508857086
1006666667,1.519077782
1013333333,1.523395805
1020000000,1.524850248
1026666667,1.526391142
1033333333,1.532110993
1040000000,1.536924336
1046666667,1.546271382
1053333333,1.549012261
1060000000,1.551573614
1066666667,1.551065262
1073333333,1.551254443
1080000000,1.555605876
1086666667,1.559115047
1093333333,1.566370281
1100000000,1.574948151
1106666667,1.585418647
1113333333,1.598203097
1120000000,1.606259535
1126666667,1.609147565
1133333333,1.609861374
1140000000,1.611582193
1146666667,1.610829574
1153333333,1.617105392
1160000000,1.620839714
1166666667,1.625472141
1173333333,1.631001994
1180000000,1.635244926
1186666667,1.640181633
1193333333,1.643621466
1200000000,1.647548436
1206666667,1.652609468
1213333333,1.659428504
1220000000,1.667641277
1226666667,1.677443089
1233333333,1.682045929
1240000000,1.683664662
1246666667,1.684086333
1253333333,1.680881989
1260000000,1.682812758
1266666667,1.684414231
1273333333,1.689470191
1280000000,1.695891736
1286666667,1.703764711
1293333333,1.713802767
1300000000,1.719410842
1306666667,1.725812883
1313333333,1.727751994
1320000000,1.728025936
1326666667,1.73701344
1333333333,1.74336557
1340000000,1.746224608
1346666667,1.749023949
1353333333,1.751844559
1360000000,1.751575165
1366666667,1.752075856
1373333333,1.751926709
1380000000,1.757867471
1386666667,1.762070939
1393333333,1.769248008
1400000000,1.776287115
1406666667,1.789206897
1413333333,1.796263641
1420000000,1.801074232
1426666667,1.800660728
1433333333,1.79961463
1440000000,1.801004074
1446666667,1.806601857
1453333333,1.808661332
1460000000,1.81203053
1466666667,1.816541831
1473333333,1.820564741
1480000000,1.82511446
1486666667,1.830054252
1493333333,1.833124088
1500000000,1.838005891
1506666667,1.845300447
1513333333,1.853648348
1520000000,1.862475966
1526666667,1.868930964
1533333333,1.869830491
1540000000,1.870600628
1546666667,1.870186758
1553333333,1.868415939
1560000000,1.871430141
1566666667,1.874025147
1573333333,1.881133774
1580000000,1.889219654
1586666667,1.894706663
1593333333,1.90351127
1600000000,1.909373748
1606666667,1.909697493
1613333333,1.909506533
1620000000,1.91266727
1626666667,1.919071704
1633333333,1.92544471
1640000000,1.930452693
1646666667,1.934447638
1653333333,1.93602679
1660000000,1.936701087
1666666667,1.938183345
1673333333,1.940516398
1680000000,1.944098804
1686666667,1.950981355
1693333333,1.960554947
1700000000,1.970200845
1706666667,1.978633773
1713333333,1.983481483
1720000000,1.983345659
1726666667,1.983994956
1733333333,1.985807081
1740000000,1.988700272
1746666667,1.993864071
1753333333,1.996617999
1760000000,2.003185786
1766666667,2.005835879
1773333333,2.006920186
1780000000,2.010697219
1786666667,2.011537595
1793333333,2.017710356
1800000000,2.022122674
1806666667,2.027876
1813333333,2.03705844
1820000000,2.043117987
1826666667,2.047422483
1833333333,2.046600809
1840000000,2.04521838
1846666667,2.047753438
1853333333,2.050447897
1860000000,2.05550884
1866666667,2.056825109
1873333333,2.065775577
1880000000,2.071641911
1886666667,2.077841933
1893333333,2.080351778
1900000000,2.083491549
1906666667,2.085767124
1913333333,2.092504693
1920000000,2.0991222
1926666667,2.105168263
1933333333,2.110849874
1940000000,2.110306111
1946666667,2.109796119
1953333333,2.109385949
1960000000,2.10784262
1966666667,2.109267048
1973333333,2.115394596
1980000000,2.121676627
1986666667,2.129715313
1993333333,2.137293112
2000000000,2.143828335
2006666667,2.146834585
2013333333,2.148910162
2020000000,2.149597198
2026666667,2.154970639
2033333333,2.159484064
2040000000,2.164911018
2046666667,2.171632119
2053333333,2.17167367
2060000000,2.171543949
2066666667,2.170120676
2073333333,2.173482734
2080000000,2.174967266
2086666667,2.181233735
2093333333,2.190183647
2100000000,2.199817599
2106666667,2.208776546
2113333333,2.21552539
2120000000,2.218941561
2126666667,2.215271605
2133333333,2.215350143
2140000000,2.216132217
2146666667,2.218386315
2153333333,2.223525804
2160000000,2.226406546
2166666667,2.231538
2173333333,2.234924105
2180000000,2.238438514
2186666667,2.241545732
2193333333,2.2442277
2200000000,2.25013463
2206666667,2.255915389
2213333333,2.263342324
2220000000,2.273560381
2226666667,2.273338854
2233333333,2.277410846
2240000000,2.275886952
2246666667,2.275762937
2253333333,2.274837199
2260000000,2.279365095
2266666667,2.284188621
2273333333,2.289353262
2280000000,2.294876919
2286666667,2.303908039
2293333333,2.306573957
2300000000,2.312228068
2306666667,2.315365954
2313333333,2.316062533
2320000000,2.324685541
2326666667,2.329626474
2333333333,2.331828966
2340000000,2.333902057
2346666667,2.330198373
2353333333,2.329717551
2360000000,2.332871697
2366666667,2.333041755
2373333333,2.335982904
2380000000,2.343123994
2386666667,2.353352373
2393333333,2.364273361
2400000000,2.370721362
2406666667,2.373446974
2413333333,2.376357073
2420000000,2.376888644
2426666667,2.379017241
2433333333,2.381189829
2440000000,2.383446163
2446666667,2.386822338
2453333333,2.388319172
2460000000,2.389732725
2466666667,2.39037127
2473333333,2.392065053
2480000000,2.395309317
2486666667,2.400236387
2493333333,2.406213257
2500000000,2.418676213
2506666667,2.426791696
2513333333,2.432267255
2520000000,2.433939606
2526666667,2.433158657
2533333333,2.429579528
2540000000,2.429414987
2546666667,2.43055952
2553333333,2.4333091
2560000000,2.438825135
2566666667,2.448090822
2573333333,2.454539741
2580000000,2.458750456
2586666667,2.461519975
2593333333,2.463395882
2600000000,2.470323329
2606666667,2.474697147
2613333333,2.483135638
2620000000,2.491544336
2626666667,2.494582257
2633333333,2.496699623
2640000000,2.493486198
2646666667,2.490694813
2653333333,2.489037469
2660000000,2.490454518
2666666667,2.492918189
2673333333,2.503729651
2680000000,2.513411436
2686666667,2.523602813
2693333333,2.531763009
2700000000,2.534251272
2706666667,2.533358132
2713333333,2.533283327
2720000000,2.534265604
2726666667,2.537903715
2733333333,2.541267697
2740000000,2.543411875
2746666667,2.54501151
2753333333,2.54819778
2760000000,2.548678161
2766666667,2.552814525
2773333333,2.557983883
2780000000,2.567248644
2786666667,2.577084561
2793333333,2.586965198
2800000000,2.59520346
2806666667,2.600502775
2813333333,2.598830381
2820000000,2.597312511
2826666667,2.596163268
2833333333,2.595078902
2840000000,2.596456409
2846666667,2.600351007
2853333333,2.604232837
2860000000,2.613021174
2866666667,2.617083163
2873333333,2.62572819
2880000000,2.630225567
2886666667,2.638107674
2893333333,2.647082628
2900000000,2.656845703
2906666667,2.665456231
2913333333,2.667836784
2920000000,2.665868564
2926666667,2.660632365
2933333333,2.657455271
2940000000,2.651366304
2946666667,2.65296696
2953333333,2.656359216
2960000000,2.667430059
2966666667,2.679407911
2973333333,2.690077334
2980000000,2.698545115
2986666667,2.704205613
2993333333,2.704550743
3000000000,2.7117145
3006666667,2.71646599
3013333333,2.722956478
3020000000,2.726158113
3026666667,2.728633411
3033333333,2.725025539
3040000000,2.721424045
3046666667,2.715254123
3053333333,2.714776677
3060000000,2.722761648
3066666667,2.733174065
3073333333,2.752500417
3080000000,2.767199488
3086666667,2.783049812
3093333333,2.78961882
3100000000,2.790711084
3106666667,2.787284851
3113333333,2.781463166
3120000000,2.777792899
3126666667,2.778359539
3133333333,2.778256316
3140000000,2.784620424
3146666667,2.787698244
3153333333,2.794272952
3160000000,2.79917905
3166666667,2.80284362
3173333333,2.812498354
3180000000,2.824502642
3186666667,2.843919863
3193333333,2.85933902
3200000000,2.868582425
3206666667,2.871095339
3213333333,2.866695865
3220000000,2.853809873
3226666667,2.841582893
3233333333,2.835733959
3240000000,2.837441837
3246666667,2.843968375
3253333333,2.851633744
3260000000,2.866975866
3266666667,2.876777318
3273333333,2.888606722
3280000000,2.89956897
3286666667,2.907399226
3293333333,2.91719344
3300000000,2.927410868
3306666667,2.9344034
3313333333,2.93518057
3320000000,2.928501389
3326666667,2.917922639
3333333333,2.909449485
3340000000,2.902881464
3346666667,2.905656156
3353333333,2.917723461
3360000000,2.934303893
3366666667,2.954950116
3373333333,2.971797319
