22 November 2013
Frequency [Hz],Gain [dB]
1842650000.0,72.652571752717435
1857300000.0,72.620633093937457
1871950000.0,72.60713611809318
1886600000.0,72.680721126819449
1901250000.0,72.654468242972911
1915900000.0,72.75694883453923
1930550000.0,72.722762083871643
1945200000.0,72.731536635456465
1959850000.0,72.738192789817589
1974500000.0,72.709314357260112
1989150000.0,72.776119365097315
2003800000.0,72.781691224938726
2018450000.0,72.80896469858331
2033100000.0,72.832813850724207
2047750000.0,72.811797786030269
2062400000.0,72.867332106778335
2077050000.0,72.857351318885179
2091700000.0,72.898589585530274
2106350000.0,72.923344667797878
2121000000.0,72.920019276094365
2135650000.0,72.952074549719626
2150300000.0,72.936460743593784
2164950000.0,72.959835729234669
2179600000.0,72.984310891184307
2194250000.0,73.012563509867334
2208900000.0,73.048777877350147
2223550000.0,73.041318750867816
2238200000.0,73.073373334323648
2252850000.0,73.059948357139845
2267500000.0,73.101248223867913
2282150000.0,73.150581848342071
2296800000.0,73.15582406988888
2311450000.0,73.202351758466904
2326100000.0,73.22678764727516
2340750000.0,73.258357139661328
2355400000.0,73.272931402266195
2370050000.0,73.291348136830891
2384700000.0,73.339207119787972
2399350000.0,73.356724543142178
2414000000.0,73.351759957312183
2428650000.0,73.393486727477097
2443300000.0,73.393856926987127
2457950000.0,73.394972258044561
2472600000.0,73.454763521077155
2487250000.0,73.479047939647927
2501900000.0,73.519047508953946
2516550000.0,73.495344762247569
2531200000.0,73.476187158929662
2545850000.0,73.462875947720505
2560500000.0,73.469782590488933
2575150000.0,73.537696515707438
2589800000.0,73.556348133109864
2604450000.0,73.589801113761951
2619100000.0,73.568578266159165
2633750000.0,73.544295838735522
2648400000.0,73.558571950408663
2663050000.0,73.55960582115506
2677700000.0,73.57379511664449
2692350000.0,73.617084192254794
2707000000.0,73.591346899401543
2721650000.0,73.575621646823905
2736300000.0,73.551152644240474
2750950000.0,73.545669670962809
2765600000.0,73.590348567239261
2780250000.0,73.599435480194074
2794900000.0,73.625100692809639
2809550000.0,73.617329698796937
2824200000.0,73.572997319161544
2838850000.0,73.567590253947728
2853500000.0,73.559653190061198
2868150000.0,73.565235736642762
2882800000.0,73.585041913599824
2897450000.0,73.586219966130969
2912100000.0,73.532305884189682
2926750000.0,73.514022965051424
2941400000.0,73.473027037112971
2956050000.0,73.473697307297527
2970700000.0,73.496634875437053
2985350000.0,73.504053386595132
3000000000.0,73.497321903268016
