19 November 2013
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
1300600000.0,7.3558859114924156,8.7220543944556077,25.188374172969894,23.822205690006705
1315250000.0,7.5318434179902463,10.051930257551261,25.109707882418402,22.589621042857388
1329900000.0,7.7998224651587877,10.546994395458158,24.937942346245869,22.190770415946496
1344550000.0,7.9986293441573686,10.050171192410996,24.834294887653389,22.782753039399761
1359200000.0,7.9627940249784785,9.3349468491406586,24.964258383266017,23.592105559103839
1373850000.0,8.0319557340052548,8.505355276185016,24.988215718499568,24.514816176319808
1388500000.0,8.0111966052618051,7.5601195481758481,25.101106167488435,25.552183224574392
1403150000.0,8.0159542284394139,6.4820161588487366,25.187512874601246,26.721450944191922
1417800000.0,8.1694690925581241,5.4616973031262219,25.124215438786841,27.831987228218743
1432450000.0,8.3696754643250308,5.1568302391042504,25.01329906178395,28.226144287004725
1447100000.0,8.4952162240434568,6.2968867268807038,24.976139737428177,27.17446923459093
1461750000.0,8.6418315655735007,7.9987171518877016,24.917015575637645,25.560129989323439
1476400000.0,8.6101199129086794,9.714197695673878,25.035345908588425,23.93126812582323
1491050000.0,8.6525721468753645,10.731909785566652,25.078657085643936,22.999319446952651
1505700000.0,8.4364626401428993,10.970950448787182,25.379691458916206,22.84520365027192
1520350000.0,8.5777248311230565,10.780757757692145,25.322531828941834,23.11949890237274
1535000000.0,8.6150343529848268,10.28912099848856,25.368518334303992,23.694431688800258
1549650000.0,8.5946523020919248,9.3772812144917346,25.471405200946535,24.68877628854672
1564300000.0,8.629539768980802,8.6860684426088284,25.518246228112353,25.461717554484331
1578950000.0,8.6838000379542564,7.909777757821721,25.544952604877793,26.318974885010327
1593600000.0,8.8293852056963633,6.9789735524413761,25.479586306920822,27.329997960175806
1608250000.0,8.8445408755781223,6.607239101114323,25.543915416894706,27.781217191358504
1622900000.0,8.8595992832869808,6.6826245923194101,25.607621012812182,27.784595703779754
1637550000.0,9.0988967662578197,7.5302463736927354,25.446379711998475,27.015030104563561
1652200000.0,9.047253859664627,8.9015401857200587,25.575383587887579,25.721097261832146
1666850000.0,9.0400847011710397,10.139996207931787,25.659230777495207,24.559319270734463
1681500000.0,8.7774705113283709,11.188256236908202,25.997852012709433,23.587066287129595
1696150000.0,8.4000556417204013,11.133440124431733,26.450614583327518,23.717230100616188
1710800000.0,8.351617128515171,10.397179876502047,26.57375279420501,24.528190046218135
1725450000.0,8.5604851942230589,9.7732952735232779,26.438947473742189,25.22613739444197
1740100000.0,8.9998080932778279,8.9215348084615194,26.073061138114575,26.151334422930887
1754750000.0,9.1173261013552462,7.9867411155803527,26.028364011354483,27.158948997129375
1769400000.0,8.9691684225956898,6.9823792935633247,26.248737127137858,28.235526256170225
